	SV CODE	SV EXPERIMENT CODE	SV EXPERIMENT QA STATUS	SV EXPERIMENT SNR	SV EXPERIMENT WBW	SV IS A VALID EXPERIMENT?	SV IS A VALID VOXEL?
et2024 	svs000 	idf0000 	NA 	89.51 	5.12 	YES 	YES 	et2024 	svs000 	idf0000 	0 	89.51 	5.12 	0 	0
et2024 	svs000 	idf0001 	NA 	17.84 	4.88 	YES 	YES 	et2024 	svs000 	idf0001 	0 	17.84 	4.88 	0 	0
et2025 	svs000 	idf0000 	NA 			YES 	YES 	et2025 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et2025 	svs000 	idf0001 	NA 			YES 	YES 	et2025 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et2026 	svs000 	idf0000 	NA 	74.25 	6.09 	YES 	YES 	et2026 	svs000 	idf0000 	0 	74.25 	6.09 	0 	0
et2026 	svs000 	idf0001 	NA 	34.76 	5.12 	YES 	YES 	et2026 	svs000 	idf0001 	0 	34.76 	5.12 	0 	0
et2027 	svs000 	idf0000 	NA 	34.22 	4.27 	YES 	YES 	et2027 	svs000 	idf0000 	0 	34.22 	4.27 	0 	0
et2028 	svs000 	idf0000 	NA 	0 	0 	YES 	YES 	et2028 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et2028 	svs000 	idf0002 	NA 			YES 	YES 	et2028 	svs000 	idf0002 	0 	0.0 	0.0 	0 	0
et2029 	svs000 	idf0000 	NA 	13.5 	1.51 	YES 	YES 	et2029 	svs000 	idf0000 	0 	13.5 	1.51 	0 	0
et2029 	svs000 	idf0001 	NA 	7.59 	1.51 	YES 	YES 	et2029 	svs000 	idf0001 	0 	7.59 	1.51 	0 	0
et2030 	svs000 	idf0000 	NA 	33 	4.6 	YES 	YES 	et2030 	svs000 	idf0000 	0 	33.0 	4.6 	0 	0
et2030 	svs000 	idf0001 	NA 	19.5 	4.35 	YES 	YES 	et2030 	svs000 	idf0001 	0 	19.5 	4.35 	0 	0
et2033 	svs000 	idf0006 	NA 	37.9 	2.28 	YES 	YES 	et2033 	svs000 	idf0006 	0 	37.9 	2.28 	0 	0
et2033 	svs000 	idf0007 	YES 	21.1 	2.4 	YES 	YES 	et2033 	svs000 	idf0007 	1 	21.1 	2.4 	0 	0
et2034 	svs000 	idf0002 	NA 	51.1 	4.05 	YES 	YES 	et2034 	svs000 	idf0002 	0 	51.1 	4.05 	0 	0
et2034 	svs000 	idf0003 	NA 	38.9 	3.68 	YES 	YES 	et2034 	svs000 	idf0003 	0 	38.9 	3.68 	0 	0
et2035 	svs000 	idf0000 	NA 	39.8 	4.89 	YES 	YES 	et2035 	svs000 	idf0000 	0 	39.8 	4.89 	0 	0
et2035 	svs000 	idf0001 	NA 	20.3 	4.86 	YES 	YES 	et2035 	svs000 	idf0001 	0 	20.3 	4.86 	0 	0
et2036 	svs000 	idf0000 	NA 	53.4 	2.33 	YES 	YES 	et2036 	svs000 	idf0000 	0 	53.4 	2.33 	0 	0
et2036 	svs000 	idf0001 	NA 	36.1 	2.02 	YES 	YES 	et2036 	svs000 	idf0001 	0 	36.1 	2.02 	0 	0
et2037 	svs000 	idf0000 	NA 	27.4 	3.96 	YES 	YES 	et2037 	svs000 	idf0000 	0 	27.4 	3.96 	0 	0
et2037 	svs000 	idf0001 	NA 	15.4 	2.74 	YES 	YES 	et2037 	svs000 	idf0001 	0 	15.4 	2.74 	0 	0
et2038 	svs000 	idf0000 	NA 	31.5 	1.57 	YES 	YES 	et2038 	svs000 	idf0000 	0 	31.5 	1.57 	0 	0
et2038 	svs000 	idf0001 	NA 	15.9 	1.4 	YES 	YES 	et2038 	svs000 	idf0001 	0 	15.9 	1.4 	0 	0
et2041 	svs000 	idf0005 	NA 	24.47 	4.63 	YES 	YES 	et2041 	svs000 	idf0005 	0 	24.47 	4.63 	0 	0
et2041 	svs000 	idf0006 	NA 	24.47 	4.63 	YES 	YES 	et2041 	svs000 	idf0006 	0 	24.47 	4.63 	0 	0
et2041 	svs000 	idf0007 	NA 	24.47 	4.63 	YES 	YES 	et2041 	svs000 	idf0007 	0 	24.47 	4.63 	0 	0
et2041 	svs000 	idf0008 	NA 	82.55 	2.19 	YES 	YES 	et2041 	svs000 	idf0008 	0 	82.55 	2.19 	0 	0
et2041 	svs000 	idf0009 	NA 	63.63 	2.19 	YES 	YES 	et2041 	svs000 	idf0009 	0 	63.63 	2.19 	0 	0
et2042 	svs000 	idf0000 	NA 	467.2 	4.14 	YES 	YES 	et2042 	svs000 	idf0000 	0 	467.2 	4.14 	0 	0
et2042 	svs000 	idf0001 	NA 	54.01 	4.14 	YES 	YES 	et2042 	svs000 	idf0001 	0 	54.01 	4.14 	0 	0
et2043 	svs000 	idf0000 	NA 	35.74 	2.68 	YES 	YES 	et2043 	svs000 	idf0000 	0 	35.74 	2.68 	0 	0
et2043 	svs000 	idf0001 	NA 	12.58 	2.68 	YES 	YES 	et2043 	svs000 	idf0001 	0 	12.58 	2.68 	0 	0
et2044 	svs000 	idf0000 	NA 	31.98 	7.56 	YES 	YES 	et2044 	svs000 	idf0000 	0 	31.98 	7.56 	0 	0
et2044 	svs000 	idf0001 	NA 	24.75 	7.31 	YES 	YES 	et2044 	svs000 	idf0001 	0 	24.75 	7.31 	0 	0
et2045 	svs000 	idf0000 	NA 	28.97 	6.58 	YES 	YES 	et2045 	svs000 	idf0000 	0 	28.97 	6.58 	0 	0
et2045 	svs000 	idf0001 	NA 	32 	5.8 	YES 	YES 	et2045 	svs000 	idf0001 	0 	32.0 	5.8 	0 	0
et2046 	svs000 	idf0000 	NA 	88.77 	4.63 	YES 	YES 	et2046 	svs000 	idf0000 	0 	88.77 	4.63 	0 	0
et2046 	svs000 	idf0001 	NA 	66.59 	4.14 	YES 	YES 	et2046 	svs000 	idf0001 	0 	66.59 	4.14 	0 	0
et2047 	svs000 	idf0000 	NA 	25.51 	5.36 	YES 	YES 	et2047 	svs000 	idf0000 	0 	25.51 	5.36 	0 	0
et2047 	svs000 	idf0001 	NA 	40.05 	5.36 	YES 	YES 	et2047 	svs000 	idf0001 	0 	40.05 	5.36 	0 	0
et2048 	svs000 	idf0000 	NA 	102.15 	5.85 	YES 	YES 	et2048 	svs000 	idf0000 	0 	102.15 	5.85 	0 	0
et2048 	svs000 	idf0001 	NA 	82.61 	5.36 	YES 	YES 	et2048 	svs000 	idf0001 	0 	82.61 	5.36 	0 	0
et2050 	svs000 	idf0070 	NA 	39.5 	59 	YES 	YES 	et2050 	svs000 	idf0070 	0 	39.5 	59.0 	0 	0
et2050 	svs000 	idf0077 	NA 	39.5 	32 	YES 	YES 	et2050 	svs000 	idf0077 	0 	39.5 	32.0 	0 	0
et2050 	svs000 	idf0089 	NA 	39.5 	6.58 	YES 	YES 	et2050 	svs000 	idf0089 	0 	39.5 	6.58 	0 	0
et2050 	svs000 	idf0093 	NA 	39.5 	59 	YES 	YES 	et2050 	svs000 	idf0093 	0 	39.5 	59.0 	0 	0
et2050 	svs000 	idf0098 	NA 	95.33 	3.66 	YES 	YES 	et2050 	svs000 	idf0098 	0 	95.33 	3.66 	0 	0
et2050 	svs022 	idf0001 	NA 	39.5 		YES 	YES 	et2050 	svs022 	idf0001 	0 	39.5 	0.0 	0 	0
et2050 	svs022 	idf0002 	NA 			YES 	YES 	et2050 	svs022 	idf0002 	0 	0.0 	0.0 	0 	0
et2050 	svs022 	idf0003 	NA 			YES 	YES 	et2050 	svs022 	idf0003 	0 	0.0 	0.0 	0 	0
et2050 	svs022 	idf0005 	NA 			YES 	YES 	et2050 	svs022 	idf0005 	0 	0.0 	0.0 	0 	0
